"","SystemCodeNumber","Capacity","Occupancy","LastUpdated","LastUpdated_rounded"
"1","BHMBCCMKT01","577",61,2016-10-04 07:59:42,2016-10-04 08:00:00
"2","BHMBCCMKT01","577",64,2016-10-04 08:25:42,2016-10-04 08:30:00
"3","BHMBCCMKT01","577",80,2016-10-04 08:59:42,2016-10-04 09:00:00
"4","BHMBCCMKT01","577",107,2016-10-04 09:32:46,2016-10-04 09:30:00
"5","BHMBCCMKT01","577",150,2016-10-04 09:59:48,2016-10-04 10:00:00
"6","BHMBCCMKT01","577",177,2016-10-04 10:26:49,2016-10-04 10:30:00
"7","BHMBCCMKT01","577",219,2016-10-04 10:59:48,2016-10-04 11:00:00
"8","BHMBCCMKT01","577",247,2016-10-04 11:25:47,2016-10-04 11:30:00
"9","BHMBCCMKT01","577",259,2016-10-04 11:59:44,2016-10-04 12:00:00
"10","BHMBCCMKT01","577",266,2016-10-04 12:29:45,2016-10-04 12:30:00
"11","BHMBCCMKT01","577",269,2016-10-04 13:02:48,2016-10-04 13:00:00
"12","BHMBCCMKT01","577",263,2016-10-04 13:29:45,2016-10-04 13:30:00
"13","BHMBCCMKT01","577",238,2016-10-04 14:02:47,2016-10-04 14:00:00
"14","BHMBCCMKT01","577",215,2016-10-04 14:29:49,2016-10-04 14:30:00
"15","BHMBCCMKT01","577",192,2016-10-04 14:57:13,2016-10-04 15:00:00
"16","BHMBCCMKT01","577",165,2016-10-04 15:30:14,2016-10-04 15:30:00
"17","BHMBCCMKT01","577",162,2016-10-04 16:04:12,2016-10-04 16:00:00
"18","BHMBCCMKT01","577",143,2016-10-04 16:31:14,2016-10-04 16:30:00
"19","BHMBCCMKT01","577",54,2016-10-05 07:57:17,2016-10-05 08:00:00
"20","BHMBCCMKT01","577",59,2016-10-05 08:30:15,2016-10-05 08:30:00
"21","BHMBCCMKT01","577",71,2016-10-05 09:04:19,2016-10-05 09:00:00
"22","BHMBCCMKT01","577",83,2016-10-05 09:30:15,2016-10-05 09:30:00
"23","BHMBCCMKT01","577",114,2016-10-05 10:04:15,2016-10-05 10:00:00
"24","BHMBCCMKT01","577",128,2016-10-05 10:30:17,2016-10-05 10:30:00
"25","BHMBCCMKT01","577",148,2016-10-05 11:04:19,2016-10-05 11:00:00
"26","BHMBCCMKT01","577",162,2016-10-05 11:30:18,2016-10-05 11:30:00
"27","BHMBCCMKT01","577",178,2016-10-05 12:04:14,2016-10-05 12:00:00
"28","BHMBCCMKT01","577",183,2016-10-05 12:30:16,2016-10-05 12:30:00
"29","BHMBCCMKT01","577",175,2016-10-05 12:57:15,2016-10-05 13:00:00
