"","x"
"1","BHMBCCMKT01"
"2","BHMBCCPST01"
"3","BHMBCCSNH01"
"4","BHMBCCTHL01"
"5","BHMBRCBRG01"
"6","BHMBRCBRG02"
"7","BHMBRCBRG03"
"8","BHMEURBRD01"
"9","BHMEURBRD02"
"10","BHMMBMMBX01"
"11","BHMNCPHST01"
"12","BHMNCPLDH01"
"13","BHMNCPNHS01"
"14","BHMNCPNST01"
"15","BHMNCPPLS01"
"16","BHMNCPRAN01"
"17","Broad Street"
"18","Bull Ring"
"19","NIA Car Parks"
"20","NIA South"
"21","Others-CCCPS105a"
"22","Others-CCCPS119a"
"23","Others-CCCPS133"
"24","Others-CCCPS135a"
"25","Others-CCCPS202"
"26","Others-CCCPS8"
"27","Others-CCCPS98"
"28","Shopping"
